日期,金额,支付通道,说明
2025-11-17,-3.0,支付宝,早餐
2025-11-17,-3.99,支付宝,共享单车
2025-11-17,-10.9,微信,京东点外卖
2025-11-18,-0.99,支付宝,共享单车
2025-11-18,-0.99,支付宝,共享单车
2025-11-18,-0.99,支付宝,共享单车
2025-11-18,-4.0,微信,早餐
2025-11-18,-15.3,微信,京东点外卖
2025-11-18,-39.9,微信,京东买衣服
2025-11-19,-0.99,支付宝,共享单车
2025-11-19,-1.5,微信,共享单车
2025-11-19,-1.0,微信,早餐
2025-11-19,-15.3,微信,京东点外卖
2025-11-19,-11.3,微信,京东买耳塞
2025-11-20,-0.99,支付宝,共享单车
2025-11-20,-0.99,支付宝,共享单车
2025-11-20,-21.7,支付宝,零食饮料
2025-11-20,-3.0,微信,早餐
2025-11-20,-16.9,微信,京东点外卖
2025-11-21,-15.3,微信,京东点外卖
2025-11-21,-1.0,微信,早餐
2025-11-21,-0.99,支付宝,共享单车
2025-11-21,-0.99,支付宝,共享单车
2025-11-22,-10.9,微信,京东点外卖
2025-11-23,-0.99,支付宝,共享单车
2025-11-23,-3.86,微信,转账给小号在PDD上面买东西
2025-11-23,-27.0,微信,琶洲地铁口麦当劳
2025-11-23,-9.59,美团月付,桶装水
2025-11-24,-850.0,微信,房租定金
2025-11-24,-15.3,微信,京东点外卖
2025-11-24,-0.99,支付宝,共享单车
2025-11-25,-1.0,微信,买早餐
2025-11-25,-15.3,微信,京东点外卖
2025-11-25,-1.5,微信,共享单车
2025-11-25,-0.99,支付宝,共享单车
2025-11-25,-0.99,支付宝,共享单车
2025-11-26,-1.0,微信,买早餐
2025-11-26,-15.3,微信,京东点外卖
2025-11-26,-1.5,微信,共享单车
2025-11-26,-0.99,支付宝,共享单车
2025-11-26,-100.0,支付宝,岭南通充值
2025-11-27,-1.09,微信,共享单车
2025-11-27,-1.0,微信,早餐
2025-11-27,-4250.0,微信,12月房租+押金
2025-11-27,-50.0,微信,燃气费
2025-11-27,-15.8,微信,京东点外卖
2025-11-27,-0.99,微信,共享单车
2025-11-27,-850.0,支付宝,贝壳中介费
2025-11-28,-35.88,白条,买搬家打包箱子
